X1,X2,cresp,,,
JRLWVD,JRLWBD,39,,1,1. JRLWVD
NLZTJWQXC,SLZTJWQXC,39,,2,2. NLZTJWQXC
ZJT,ZJT,37,,3,3. ZJT
JKFLSMCWN,JKFLSMCWN,37,,4,4. JKFLSMCWN
VFZ,VFZ,37,,5,5. VFZ
GCLZJQ,GCTZJQ,39,,6,6. GCLZJQ
TRK,TRP,39,,7,7. TRK
CVQZJB,CVQZJB,37,,8,8. CVQZJB
SGCYZBWHX,SGCYZBWHX,37,,9,9. SGCYZBWHX
WHGZKRLPM,WHQZKRLPM,39,,10,10. WHGZKRLPM
MTGLBY,MTGLBY,37,,11,11. MTGLBY
CXK,CRK,39,,12,12. CXK
JBMWZR,JFMWZR,39,,13,13. JBMWZR
DNK,DNK,37,,14,14. DNK
PGTKXBZNF,PGTKXBVNF,39,,15,15. PGTKXBZNF
KFQ,KFN,39,,16,16. KFQ
ZXQBNFHGP,ZXQBYFHGP,39,,17,17. ZXQBNFHGP
CZVWPK,CZVWPH,39,,18,18. CZVWPK
JZKDHY,JZKDHY,37,,19,19. JZKDHY
QZD,QZD,37,,20,20. QZD
CHJXRNLMQ,CHJXRNLMQ,37,,21,21. CHJXRNLMQ
PHLDMZ,PHLDMZ,37,,22,22. PHLDMZ
GYT,GYT,37,,23,23. GYT
RHBCMNGYL,RHBCFNGYL,39,,24,24. RHBCMNGYL
LNRBFXKHW,LNRBFXKHW,37,,25,25. LNRBFXKHW
TJPMZQ,TJPMZQ,37,,26,26. TJPMZQ
GYP,GHP,39,,27,27. GYP
YRSLDK,YRTLDK,39,,28,28. YRSLDK
SFH,SRH,39,,29,29. SFH
WTKGRDSZX,WTKGRDSZX,37,,30,30. WTKGRDSZX